Czas,A: BVP1,B: BVP2,C: EMG1,D: EMG2,E: Skin Cond,F: Temp1,G: Abd Resp,H: Thor Resp,I: Temp2,SC-Pro/Flex - 1J,Draw-1,Lose-1,Win-1,Draw-2,Lose-2,Win-2
76.0,38.558,34.594,37.931999999999995,1.5090000000000001,2.1919999999999997,28.601,10.987,10.056000000000001,30.504,2.2769999999999997,1,0,0,1,0,0
76.00390625,38.516999999999996,34.586999999999996,32.546,1.561,2.1919999999999997,28.601,10.987,10.055,30.504,2.2769999999999997,1,0,0,1,0,0
76.0078125,38.48,34.579,26.798000000000002,1.5090000000000001,2.1919999999999997,28.601,10.985999999999999,10.055,30.504,2.2769999999999997,1,0,0,1,0,0
76.01171875,38.446,34.57,22.395,1.5090000000000001,2.191,28.601,10.985999999999999,10.054,30.504,2.2769999999999997,1,0,0,1,0,0
76.015625,38.414,34.562,19.029,1.5090000000000001,2.191,28.601,10.985999999999999,10.052999999999999,30.504,2.2769999999999997,1,0,0,1,0,0
76.01953125,38.385,34.554,16.595,1.561,2.191,28.601,10.985,10.052999999999999,30.504,2.2769999999999997,1,0,0,1,0,0
76.0234375,38.359,34.545,15.040999999999999,1.4569999999999999,2.191,28.601,10.985,10.052,30.504,2.2769999999999997,1,0,0,1,0,0
76.02734375,38.333,34.537,13.488,1.5090000000000001,2.191,28.601,10.985,10.051,30.504,2.2769999999999997,1,0,0,1,0,0
76.03125,38.31,34.529,12.140999999999998,1.5090000000000001,2.191,28.601,10.985,10.051,30.504,2.2769999999999997,1,0,0,1,0,0
76.03515625,38.287,34.522,11.105,1.5090000000000001,2.191,28.601,10.985,10.05,30.504,2.2769999999999997,1,0,0,1,0,0
76.0390625,38.265,34.515,10.328,1.5090000000000001,2.191,28.601,10.985,10.049,30.504,2.2769999999999997,1,0,0,1,0,0
76.04296875,38.243,34.509,10.068999999999999,1.561,2.191,28.601,10.985,10.048,30.504,2.2769999999999997,1,0,0,1,0,0
76.046875,38.222,34.505,14.368,1.5090000000000001,2.191,28.601,10.985,10.047,30.504,2.2769999999999997,1,0,0,1,0,0
76.05078125,38.202,34.501999999999995,23.846,1.561,2.19,28.601,10.985,10.046,30.504,2.2769999999999997,1,0,0,1,0,0
76.0546875,38.181999999999995,34.503,35.239000000000004,1.5090000000000001,2.19,28.601,10.985,10.045,30.504,2.2769999999999997,1,0,0,1,0,0
76.05859375,38.162,34.507,38.606,1.561,2.19,28.601,10.985,10.044,30.504,2.2769999999999997,1,0,0,1,0,0
76.0625,38.143,34.514,36.689,1.5090000000000001,2.189,28.601,10.985,10.043,30.504,2.276,1,0,0,1,0,0
76.06640625,38.125,34.525999999999996,33.271,1.5090000000000001,2.19,28.601,10.985,10.042,30.504,2.2769999999999997,1,0,0,1,0,0
76.0703125,38.108000000000004,34.544000000000004,30.526,1.5090000000000001,2.19,28.6,10.985,10.041,30.504,2.2769999999999997,1,0,0,1,0,0
76.07421875,38.092,34.567,30.215999999999998,1.4569999999999999,2.19,28.6,10.985,10.04,30.504,2.2769999999999997,1,0,0,1,0,0
76.078125,38.079,34.596,28.869,1.4569999999999999,2.19,28.6,10.985,10.039,30.504,2.2769999999999997,1,0,0,1,0,0
76.08203125,38.067,34.633,25.71,1.4569999999999999,2.189,28.6,10.985,10.038,30.504,2.2769999999999997,1,0,0,1,0,0
76.0859375,38.056999999999995,34.677,22.033,1.405,2.19,28.6,10.985,10.037,30.504,2.2769999999999997,1,0,0,1,0,0
76.08984375,38.048,34.729,18.977,1.4569999999999999,2.189,28.6,10.985,10.036,30.504,2.2769999999999997,1,0,0,1,0,0
76.09375,38.041,34.789,16.336,1.5090000000000001,2.189,28.6,10.985999999999999,10.035,30.504,2.2769999999999997,1,0,0,1,0,0
76.09765625,38.035,34.857,13.85,1.4569999999999999,2.189,28.6,10.985999999999999,10.035,30.504,2.2769999999999997,1,0,0,1,0,0
76.1015625,38.031,34.931999999999995,11.882,1.5090000000000001,2.189,28.6,10.985999999999999,10.033999999999999,30.504,2.276,1,0,0,1,0,0
76.10546875,38.028,35.013000000000005,10.432,1.5090000000000001,2.189,28.6,10.985999999999999,10.033,30.504,2.2769999999999997,1,0,0,1,0,0
76.109375,38.027,35.101,9.293,1.5090000000000001,2.189,28.6,10.985999999999999,10.032,30.504,2.2769999999999997,1,0,0,1,0,0
76.11328125,38.028,35.194,9.862,1.6640000000000001,2.189,28.6,10.985999999999999,10.032,30.504,2.2769999999999997,1,0,0,1,0,0
76.1171875,38.031,35.29,11.777999999999999,1.6130000000000002,2.189,28.6,10.987,10.031,30.504,2.2769999999999997,1,0,0,1,0,0
76.12109375,38.035,35.388000000000005,17.32,1.6640000000000001,2.188,28.6,10.987,10.03,30.504,2.2769999999999997,1,0,0,1,0,0
76.125,38.041,35.488,25.658,1.6640000000000001,2.189,28.6,10.987,10.029,30.504,2.2769999999999997,1,0,0,1,0,0
76.12890625,38.047,35.588,27.989,1.6640000000000001,2.189,28.6,10.987,10.029,30.504,2.2769999999999997,1,0,0,1,0,0
76.1328125,38.055,35.686,25.761999999999997,1.6640000000000001,2.188,28.6,10.988,10.029,30.504,2.2769999999999997,1,0,0,1,0,0
76.13671875,38.062,35.783,22.344,1.6130000000000002,2.188,28.6,10.988,10.027999999999999,30.504,2.2769999999999997,1,0,0,1,0,0
76.140625,38.07,35.876999999999995,21.049,1.561,2.188,28.6,10.988,10.027999999999999,30.504,2.2769999999999997,1,0,0,1,0,0
76.14453125,38.076,35.966,23.171999999999997,1.561,2.188,28.6,10.989,10.027999999999999,30.504,2.2769999999999997,1,0,0,1,0,0
76.1484375,38.080999999999996,36.051,23.430999999999997,1.561,2.188,28.6,10.989,10.027000000000001,30.503,2.2769999999999997,1,0,0,1,0,0
76.15234375,38.084,36.131,21.721999999999998,1.561,2.188,28.6,10.989,10.027000000000001,30.504,2.2769999999999997,1,0,0,1,0,0
76.15625,38.085,36.205,20.117,1.4569999999999999,2.188,28.6,10.989,10.026,30.503,2.2769999999999997,1,0,0,1,0,0
76.16015625,38.083,36.274,18.822,1.5090000000000001,2.188,28.6,10.99,10.026,30.503,2.2769999999999997,1,0,0,1,0,0
76.1640625,38.08,36.336999999999996,17.268,1.4569999999999999,2.188,28.6,10.99,10.026,30.503,2.2769999999999997,1,0,0,1,0,0
76.16796875,38.074,36.395,16.025,1.405,2.188,28.6,10.99,10.025,30.503,2.2769999999999997,1,0,0,1,0,0
76.171875,38.066,36.448,14.834000000000001,1.354,2.187,28.6,10.99,10.025,30.503,2.2769999999999997,1,0,0,1,0,0
76.17578125,38.056999999999995,36.495,13.332,1.3019999999999998,2.188,28.6,10.99,10.024,30.503,2.2769999999999997,1,0,0,1,0,0
76.1796875,38.047,36.537,11.882,1.354,2.187,28.6,10.991,10.024,30.503,2.2769999999999997,1,0,0,1,0,0
76.18359375,38.035,36.575,10.690999999999999,1.3019999999999998,2.187,28.6,10.991,10.024,30.503,2.2769999999999997,1,0,0,1,0,0
76.1875,38.023,36.608000000000004,11.571,1.3019999999999998,2.187,28.6,10.991,10.024,30.503,2.2769999999999997,1,0,0,1,0,0
76.19140625,38.01,36.638000000000005,17.165,1.25,2.187,28.6,10.991,10.024,30.503,2.2769999999999997,1,0,0,1,0,0
76.1953125,37.996,36.663000000000004,31.406999999999996,1.354,2.187,28.6,10.991,10.023,30.503,2.2769999999999997,1,0,0,1,0,0
